Date,Open,High,Low,Close,Adj Close,Volume
2015-06-01,119300,128700,99800,126200,125612.3984,16886284
2015-07-01,128300,145200,120100,120900,120337.0703,22660059
2015-08-01,120300,142900,119800,134900,134271.8906,15193138
2015-09-01,134000,136000,120700,125900,125313.7891,6441200
2015-10-01,127700,133400,111800,113600,113071.0625,8794734
2015-11-01,112900,131000,110100,120600,120038.4688,9906528
2015-12-01,120800,123600,107900,115800,115260.8203,6036137
2016-01-01,115800,121100,107700,109300,108955.6016,7168067
2016-02-01,110100,112100,90600,94900,94600.97656,7094200
2016-03-01,94900,113400,94900,99200,98887.42969,8700518
2016-04-01,99600,105700,96000,100500,100183.3359,5805411
2016-05-01,99500,107900,98500,102800,102476.0859,5395280
2016-06-01,102900,103000,88300,93100,92806.64844,7684958
2016-07-01,93600,96200,90700,90900,90613.57813,4238421
2016-08-01,91500,94300,79300,81300,81043.82813,8741752
2016-09-01,81300,84700,79300,81800,81542.25,4859177
2016-10-01,81800,86300,76400,76400,76159.26563,5613441
2016-11-01,75600,82400,69900,77700,77455.17188,7484863
2016-12-01,77300,81000,74300,77000,76757.375,4281914
2017-01-01,77400,86000,76100,77700,77608.73438,7206779
2017-02-01,78200,90200,77000,85400,85299.6875,10452281
2017-03-01,85400,86700,81500,83100,83002.39063,8191854
2017-04-01,83500,94100,83300,90400,90293.8125,21977926
2017-05-01,90400,101000,90400,98800,98683.94531,10113247
2017-06-01,99000,110100,97100,101500,101380.7734,13400258
2017-07-01,102400,121000,97600,120000,119859.0469,14333629
2017-08-01,121500,125000,106500,123000,122855.5234,16682717
2017-09-01,123000,145000,120000,144000,143830.8594,16488420
2017-10-01,144000,168000,136500,144000,143830.8594,16870439
2017-11-01,145000,166000,135000,136500,136339.6563,22313620
2017-12-01,136500,145000,125000,137000,136839.0781,12672440
2018-01-01,137000,162500,133000,140000,140000,57166564
2018-02-01,140000,145000,116500,128000,128000,17713585
2018-03-01,128000,143000,123000,132000,132000,14440182
2018-04-01,132500,133500,110000,111000,111000,10477675
2018-05-01,111000,119000,103000,103500,103500,8599510
2018-06-01,103500,115500,103500,114500,114500,6608675
2018-07-01,115500,120000,111500,112500,112500,8288415
2018-08-01,112500,129500,111000,125000,125000,11916271
2018-09-01,125000,125500,116000,119000,119000,6019921
2018-10-01,120000,123500,86000,91600,91600,9264648
2018-11-01,92000,114000,91900,112500,112500,6362718
2018-12-01,114500,117500,98000,103000,103000,6189345
2019-01-01,103000,107000,98500,99300,99300,7256378
2019-02-01,99400,106500,93300,103500,103500,9030135
